loan_id,age,employment_status,tenure_months,annual_income,residence_type,dependents,credit_score,delinquencies_12m,inquiries_6m,revolving_utilization,total_open_accounts,months_since_last_delinquency,loan_amount,term_months,interest_rate,installment_amount,purpose,months_on_book,current_balance,missed_payments_3m,days_past_due,payment_to_income_ratio,unemployment_rate,inflation_rate,cash_rate_proxy,region,region_risk_index,default_12m,lgd,ead,ecl_true
1,38,Student,38,27603.0,Rent,1,611,1,0,0.24596867285404955,9,15,5502.0,36,0.06382894977908389,168.34,Debt Consolidation,10,3973.67,0,0,0.07318334963590914,3.0,4.854348964806238,3.853229602250791,Regional,1.08,0,0.7413267819222944,3973.67,282.97201833453653
2,45,Employed,51,76180.0,Rent,2,563,2,0,0.33282238160219757,13,22,25421.0,24,0.11971426873965149,1196.32,Debt Consolidation,53,1271.05,0,0,0.18844631136781306,4.184964254258149,3.0228183582516706,5.560022850098711,Inner Metro,0.95,0,0.6643075266365251,1271.05,222.73485999568382
3,52,Self-employed,45,35124.0,Own,0,667,0,3,0.2737303721562759,8,40,7416.0,24,0.08040462901514918,335.54,Home Improvement,50,370.8,0,0,0.11463614622480356,4.006917323033122,3.943910334204856,5.298350076836939,Regional,1.08,0,0.614870580003001,370.8,20.646487466463135
4,52,Employed,73,48067.0,Own,0,692,0,0,0.5514907613942864,7,46,5317.0,60,0.09665097937838428,112.1,Medical,49,974.78,0,0,0.02798593629725175,4.395651152765595,2.4212790089125216,5.088321773596077,Outer Metro,1.0,1,0.619685288317636,974.78,59.30371804957334
5,48,Employed,52,30145.0,Own,1,589,1,1,0.366053932618776,7,11,7528.0,36,0.10857165990409162,245.95,Debt Consolidation,10,5436.89,0,0,0.09790678387792336,5.5598605352723345,4.1301114445625,4.747711139032234,Inner Metro,0.95,0,0.6520442146865499,5436.89,728.4051079632849
6,49,Employed,43,58713.0,Rent,1,726,0,1,0.11537388577843491,8,70,13883.0,36,0.07149781934558082,429.62,Debt Consolidation,27,3470.75,1,31,0.08780747023657452,5.849242458721519,4.2617153262878515,3.3818032536736515,Remote,1.18,0,0.5792628085818426,3470.75,66.88130900615506
7,34,Employed,29,84051.0,Rent,0,686,0,2,0.16526305739208647,5,45,27313.0,72,0.05712850720347748,448.96,Debt Consolidation,16,21243.44,0,0,0.06409822607702466,3.9918285696810374,2.7502726477576642,3.4330069378452994,Regional,1.08,0,0.6082085062727846,21243.44,303.2153095306031
8,33,Employed,18,66474.0,Mortgage,1,731,0,2,0.08076681789545039,1,86,7367.0,24,0.07186248292596834,330.46,Other,52,368.35,0,0,0.05965520353822547,4.252400143245104,4.091612970727114,4.0984500658502,Regional,1.08,0,0.5367025712135143,368.35,4.870710077997395
9,33,Employed,31,83664.0,Rent,1,580,1,1,0.2069758710330397,5,20,15424.0,24,0.09917926455359116,711.16,Medical,12,7712.0,0,0,0.10200229489386116,6.500212275326527,3.872834663505783,3.0,Inner Metro,0.95,1,0.6884185870732055,7712.0,1800.5894322950608
10,38,Employed,129,71369.0,Rent,1,692,0,2,0.03732746127842631,10,55,18514.0,48,0.10429420947687854,473.39,Home Improvement,45,1157.12,0,0,0.07959590298308789,7.246351682531791,3.4010097165215134,4.783518853686992,Outer Metro,1.0,0,0.604819971330064,1157.12,30.32094988255308
11,46,Employed,123,60707.0,Mortgage,1,619,1,2,0.4164382253610078,7,12,10953.0,24,0.13333622128278735,522.44,Debt Consolidation,25,547.65,0,0,0.10327112194639827,6.7071002302964535,3.413287903454292,4.41899466769556,Inner Metro,0.95,0,0.685145065460924,547.65,82.29854416112343
12,73,Employed,26,92719.0,Rent,2,659,0,1,0.11608145621569452,16,58,21148.0,36,0.08595177794884074,668.52,Medical,33,1762.33,0,0,0.08652207206721384,3.2244026567030057,4.5821330543529335,4.550217063090508,Regional,1.08,0,0.6338186596221802,1762.33,49.22769212447594
13,33,Employed,52,44448.0,Mortgage,1,601,0,3,0.6997372486865965,7,66,14881.0,24,0.14878256735509832,720.67,Debt Consolidation,24,744.05,0,0,0.19456533477321813,6.62728857086802,4.036837412378702,6.064693464841634,Outer Metro,1.0,1,0.601354591136495,744.05,170.15925670180636
14,31,Employed,114,108232.0,Mortgage,3,745,0,2,0.4123301118990018,8,56,26851.0,72,0.09929762080941723,496.49,Debt Consolidation,12,22375.83,0,0,0.055047305787567447,7.424426627817204,5.2449352048008056,3.354885009757695,Regional,1.08,0,0.5590338406964726,22375.83,952.3556576174652
15,45,Employed,35,29287.0,Mortgage,3,668,1,0,0.1387863639296485,9,7,4009.0,48,0.056069346466238526,93.43,Home Improvement,55,200.45,2,68,0.03828183152934749,3.1648608551096187,2.6527257117716783,4.635610035920978,Inner Metro,0.95,0,0.6389061309858702,200.45,4.072185743503199
16,33,Employed,39,68090.0,Rent,3,604,1,1,0.331454148456986,4,9,13941.0,48,0.1049219930784543,356.88,Debt Consolidation,9,11327.06,0,0,0.06289557938023205,6.499240668204524,3.7561695797325148,3.362406664701113,Inner Metro,0.95,1,0.6458348407563634,11327.06,1152.487913527386
17,52,Employed,87,47077.0,Mortgage,1,668,1,2,0.21279096619819482,6,14,15805.0,60,0.09746784920143381,333.84,Debt Consolidation,17,11326.92,0,0,0.08509633154194192,5.470259938083455,3.2012675909787918,5.773555500252569,Outer Metro,1.0,0,0.6584134051360012,11326.92,1366.5419228199942
