date,sku_id,store_id,on_hand,on_order_qty,in_transit_orders
2024-01-01,SKU0001,S001,24,0,0
2024-01-02,SKU0001,S001,22,0,0
2024-01-03,SKU0001,S001,20,0,0
2024-01-04,SKU0001,S001,18,0,0
2024-01-05,SKU0001,S001,15,11,1
2024-01-06,SKU0001,S001,13,24,2
2024-01-07,SKU0001,S001,11,39,3
2024-01-08,SKU0001,S001,9,56,4
2024-01-09,SKU0001,S001,7,75,5
2024-01-10,SKU0001,S001,5,96,6
2024-01-11,SKU0001,S001,3,119,7
2024-01-12,SKU0001,S001,1,144,8
2024-01-13,SKU0001,S001,0,170,9
2024-01-14,SKU0001,S001,21,147,8
2024-01-15,SKU0001,S001,62,104,5
2024-01-16,SKU0001,S001,60,104,5
2024-01-17,SKU0001,S001,58,104,5
2024-01-18,SKU0001,S001,100,60,3
2024-01-19,SKU0001,S001,98,60,3
2024-01-20,SKU0001,S001,109,47,2
2024-01-21,SKU0001,S001,107,47,2
2024-01-22,SKU0001,S001,104,47,2
2024-01-23,SKU0001,S001,123,26,1
2024-01-24,SKU0001,S001,121,26,1
2024-01-25,SKU0001,S001,145,0,0
2024-01-26,SKU0001,S001,143,0,0
2024-01-27,SKU0001,S001,141,0,0
2024-01-28,SKU0001,S001,139,0,0
2024-01-29,SKU0001,S001,136,0,0
2024-01-30,SKU0001,S001,134,0,0
2024-01-31,SKU0001,S001,132,0,0
2024-02-01,SKU0001,S001,129,0,0
2024-02-02,SKU0001,S001,127,0,0
2024-02-03,SKU0001,S001,124,0,0
2024-02-04,SKU0001,S001,121,0,0
2024-02-05,SKU0001,S001,119,0,0
2024-02-06,SKU0001,S001,117,0,0
2024-02-07,SKU0001,S001,115,0,0
2024-02-08,SKU0001,S001,113,0,0
2024-02-09,SKU0001,S001,111,0,0
2024-02-10,SKU0001,S001,107,0,0
2024-02-11,SKU0001,S001,105,0,0
2024-02-12,SKU0001,S001,103,0,0
2024-02-13,SKU0001,S001,101,0,0
2024-02-14,SKU0001,S001,98,0,0
2024-02-15,SKU0001,S001,95,0,0
2024-02-16,SKU0001,S001,93,0,0
2024-02-17,SKU0001,S001,91,0,0
2024-02-18,SKU0001,S001,88,0,0
2024-02-19,SKU0001,S001,85,0,0
2024-02-20,SKU0001,S001,83,0,0
2024-02-21,SKU0001,S001,81,0,0
2024-02-22,SKU0001,S001,79,0,0
2024-02-23,SKU0001,S001,77,0,0
2024-02-24,SKU0001,S001,75,0,0
2024-02-25,SKU0001,S001,73,0,0
2024-02-26,SKU0001,S001,71,0,0
2024-02-27,SKU0001,S001,69,0,0
2024-02-28,SKU0001,S001,67,0,0
2024-02-29,SKU0001,S001,65,0,0
2024-03-01,SKU0001,S001,63,0,0
2024-03-02,SKU0001,S001,61,0,0
2024-03-03,SKU0001,S001,58,0,0
2024-03-04,SKU0001,S001,55,0,0
2024-03-05,SKU0001,S001,53,0,0
2024-03-06,SKU0001,S001,51,0,0
2024-03-07,SKU0001,S001,49,0,0
2024-03-08,SKU0001,S001,47,0,0
2024-03-09,SKU0001,S001,45,0,0
2024-03-10,SKU0001,S001,43,0,0
2024-03-11,SKU0001,S001,41,0,0
2024-03-12,SKU0001,S001,39,0,0
2024-03-13,SKU0001,S001,37,0,0
2024-03-14,SKU0001,S001,35,0,0
2024-03-15,SKU0001,S001,33,0,0
2024-03-16,SKU0001,S001,31,0,0
2024-03-17,SKU0001,S001,29,0,0
2024-03-18,SKU0001,S001,27,0,0
2024-03-19,SKU0001,S001,25,0,0
2024-03-20,SKU0001,S001,23,0,0
2024-03-21,SKU0001,S001,21,0,0
2024-03-22,SKU0001,S001,19,0,0
2024-03-23,SKU0001,S001,16,10,1
2024-03-24,SKU0001,S001,14,22,2
2024-03-25,SKU0001,S001,12,36,3
2024-03-26,SKU0001,S001,10,52,4
2024-03-27,SKU0001,S001,8,70,5
2024-03-28,SKU0001,S001,16,70,5
2024-03-29,SKU0001,S001,13,83,6
2024-03-30,SKU0001,S001,11,98,7
2024-03-31,SKU0001,S001,8,116,8
2024-04-01,SKU0001,S001,6,136,9
2024-04-02,SKU0001,S001,4,158,10
2024-04-03,SKU0001,S001,12,162,10
2024-04-04,SKU0001,S001,22,150,9
2024-04-05,SKU0001,S001,67,103,6
2024-04-06,SKU0001,S001,78,89,5
2024-04-07,SKU0001,S001,76,89,5
2024-04-08,SKU0001,S001,74,89,5
2024-04-09,SKU0001,S001,72,89,5
2024-04-10,SKU0001,S001,85,74,4
2024-04-11,SKU0001,S001,101,56,3
2024-04-12,SKU0001,S001,98,56,3
2024-04-13,SKU0001,S001,95,56,3
2024-04-14,SKU0001,S001,92,56,3
2024-04-15,SKU0001,S001,111,34,2
2024-04-16,SKU0001,S001,143,0,0
2024-04-17,SKU0001,S001,141,0,0
2024-04-18,SKU0001,S001,138,0,0
2024-04-19,SKU0001,S001,136,0,0
2024-04-20,SKU0001,S001,134,0,0
2024-04-21,SKU0001,S001,132,0,0
2024-04-22,SKU0001,S001,130,0,0
2024-04-23,SKU0001,S001,128,0,0
2024-04-24,SKU0001,S001,126,0,0
2024-04-25,SKU0001,S001,124,0,0
2024-04-26,SKU0001,S001,122,0,0
2024-04-27,SKU0001,S001,118,0,0
2024-04-28,SKU0001,S001,116,0,0
