sku_id,lead_time_mean_days,lead_time_sd_days
SKU0001,9,2.74254998106753
SKU0002,6,1.9666512073927802
SKU0003,14,2.4937338698965967
SKU0004,17,2.377064516064386
SKU0005,6,2.554585824198014
SKU0006,14,1.0279996670777005
SKU0007,6,1.922679985860646
SKU0008,13,0.9123582694271097
SKU0009,14,2.1337752119602014
SKU0010,9,1.6906252732985205
SKU0011,14,1.1902153099383268
SKU0012,7,1.0791880128508895
SKU0013,4,2.3866403448798224
SKU0014,4,1.2606010150495925
SKU0015,9,3.2978243196173525
SKU0016,16,2.3688650771910664
SKU0017,4,1.7365484722440603
SKU0018,9,2.3954718269998256
SKU0019,13,0.8615704517801833
SKU0020,6,3.388109875751903
SKU0021,13,2.102219279745831
SKU0022,7,2.9133851135757727
SKU0023,15,1.0233709997905842
SKU0024,11,2.1139774932630333
SKU0025,11,2.1249088847572066
SKU0026,5,3.3321314284324535
SKU0027,9,2.3436657414154034
SKU0028,15,2.0784213828537754
SKU0029,3,1.520834290348113
SKU0030,14,1.695236292824891
